#AS215595 SparkTech LTD Geofeed
#Last Update:20240415
#prefix,country_code,region_code,city,postal
#HK
154.64.154.0/24,HK,,Tsuen Wan,
154.64.155.0/24,HK,,Tsuen Wan,
154.64.156.0/24,HK,,Tsuen Wan,
154.64.157.0/24,HK,,Tsuen Wan,
#SJC-US
154.64.128.0/24,US,US-CA,San Jose,
154.64.129.0/24,US,US-CA,San Jose,
154.64.130.0/24,US,US-CA,San Jose,
154.64.131.0/24,US,US-CA,San Jose,
154.3.16.0/24,US,US-CA,San Jose,
154.3.17.0/24,US,US-CA,San Jose,
154.3.18.0/24,US,US-CA,San Jose,
154.3.19.0/24,US,US-CA,San Jose,
#KSCity-US
154.64.150.0/24,US,US-MO,Kansas City,
154.64.151.0/24,US,US-MO,Kansas City,
154.64.152.0/24,US,US-MO,Kansas City,
154.64.153.0/24,US,US-MO,Kansas City,
#Chicago-US
154.3.27.0/24,US,US-IL,Chicago,
154.3.28.0/24,US,US-IL,Chicago,
154.3.29.0/24,US,US-IL,Chicago,
154.3.30.0/24,US,US-IL,Chicago,
#Ashburn-WA
154.3.20.0/24,US,US-WA,Washington,
154.3.21.0/24,US,US-WA,Washington,
154.3.22.0/24,US,US-WA,Washington,
154.3.23.0/24,US,US-WA,Washington,
154.3.24.0/24,US,US-WA,Washington,
154.3.25.0/24,US,US-WA,Washington,
154.3.26.0/24,US,US-WA,Washington,
#alint-Ashburn
23.248.224.0/24,US,US-VA,Virginia,
23.248.225.0/24,US,US-VA,Virginia,
23.248.226.0/24,US,US-VA,Virginia,
23.248.227.0/24,US,US-VA,Virginia,
23.248.222.0/24,US,US-VA,Virginia,
#FFM-DE
154.64.146.0/24,DE,DE-HE,Frankfurt am Main,
154.64.147.0/24,DE,DE-HE,Frankfurt am Main,
154.64.148.0/24,DE,DE-HE,Frankfurt am Main,
#SP-BR
154.64.149.0/24,BR,BR-SP,Sao Paulo,
154.64.158.0/24,BR,BR-SP,Sao Paulo,
154.64.159.0/24,BR,BR-SP,Sao Paulo,
#APAC-MY
154.64.141.0/24,MY,MY-14,Wilayah Persekutuan Kuala Lumpur,
154.64.142.0/24,MY,MY-14,Wilayah Persekutuan Kuala Lumpur,
154.64.143.0/24,MY,MY-14,Wilayah Persekutuan Kuala Lumpur,
154.64.144.0/24,MY,MY-14,Wilayah Persekutuan Kuala Lumpur,
154.64.145.0/24,MY,MY-14,Wilayah Persekutuan Kuala Lumpur,
