#AS215595 SparkTech LTD Geofeed
#Last Update:20240415
#prefix,country_code,region_code,city,postal
#HK
154.64.154.0/24,HK,,Tsuen Wan,
154.64.155.0/24,HK,,Tsuen Wan,
154.64.156.0/24,HK,,Tsuen Wan,
154.64.157.0/24,HK,,Tsuen Wan,
#SJC-US
154.64.128.0/24,US,US-CA,San Jose,
154.64.129.0/24,US,US-CA,San Jose,
154.64.130.0/24,US,US-CA,San Jose,
154.64.131.0/24,US,US-CA,San Jose,
#KSCity-US
154.64.150.0/24,US,US-MO,Kansas City,
154.64.151.0/24,US,US-MO,Kansas City,
154.64.152.0/24,US,US-MO,Kansas City,
154.64.153.0/24,US,US-MO,Kansas City,
#FFM-DE
154.64.146.0/24,DE,DE-HE,Frankfurt am Main,
154.64.147.0/24,DE,DE-HE,Frankfurt am Main,
154.64.148.0/24,DE,DE-HE,Frankfurt am Main,
#SP-BR
154.64.149.0/24,BR,BR-SP,Sao Paulo,
154.64.158.0/24,BR,BR-SP,Sao Paulo,
154.64.159.0/24,BR,BR-SP,Sao Paulo,
